goal_x|goal_y|goal_angle|robot_id||
50|100|90|1||
robot_x|robot_y|distance_to_goal|robot_angle|angle_difference|step
145|43|110|177|33|1
145|43|110|177|33|1
144|44|109|174|36|1
145|43|110|174|36|1
144|42|110|177|34|1
143|43|109|180|31|1
142|43|108|180|31|1
140|43|106|185|27|1
139|43|105|189|23|1
136|43|103|197|0|1
133|44|100|206|0|2
130|46|96|212|0|2
124|48|90|220|0|2
121|50|86|220|0|2
107|63|67|212|0|2
99|69|57|216|0|2
90|76|46|219|0|2
79|84|33|217|0|2
78|87|30|212|0|2
72|90|24|211|0|2
66|95|16|212|0|2
62|98|12|213|-24|2
62|98|12|213|-24|1
58|100|8|209|-29|1
53|104|5|201|-75|2
52|105|5|198|-87|3
53|105|5|193|-73|3
53|106|6|191|-75|3
52|105|5|188|-77|3
53|105|5|185|-65|3
53|106|6|180|-64|3
53|106|6|185|-69|3
53|106|6|174|-58|3
52|105|5|174|-63|3
53|105|5|177|-57|3
53|105|5|177|-57|3
52|106|6|173|-65|3
52|106|6|168|-60|3
52|106|6|168|-60|3
51|106|6|162|-63|3
52|106|6|158|-50|3
53|107|7|150|-37|3
51|106|6|152|-53|3
53|106|6|149|-33|3
52|106|6|149|-41|3
52|107|7|141|-36|3
51|107|7|132|-34|3
52|107|7|141|-36|3
52|106|6|130|-22|3
53|106|6|132|0|3
52|107|7|129|-24|3
53|107|7|125|0|3
51|107|7|124|-26|3
52|107|7|123|0|3
51|107|7|116|0|3
53|108|8|119|0|3
51|107|7|115|0|3
51|107|7|115|0|3
51|107|7|115|0|3
52|107|7|112|0|3
52|108|8|113|0|3
50|108|8|109|0|3
50|108|8|109|0|4
Overall statistics|||||
Initial distance|Number of steps|Ellapsed time|Travelled distance||
110|61|6.947535037994385|8705||
